sample_id,file_name,source_dir,sample_type,expected_invoice,invoice_code,invoice_number,invoice_date,amount,tax,total,buyer_name,seller_name,buyer_tax_id,seller_tax_id,invoice_type,quality_level,notes
IMG001,invoice_electronic_003.png,invoices/images,image_electronic,true,,E3402243667,2024-10-27,39200.00,4046.00,43246.00,上海贸易股份有限公司,成都软件开发有限公司,,,电子发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG002,invoice_electronic_007.png,invoices/images,image_electronic,true,,E9821861957,2024-03-16,34200.00,4046.00,38246.00,济南物流配送有限公司,福州海洋产品有限公司,,,电子发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG003,invoice_electronic_011.png,invoices/images,image_electronic,true,,E3303416863,2023-03-19,11000.00,660.00,11660.00,西安航空工业有限公司,宁波国际贸易有限公司,,,电子发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG004,invoice_electronic_015.png,invoices/images,image_electronic,true,,E4292764673,2024-05-31,10000.00,900.00,10900.00,哈尔滨农业科技股份有限公司,苏州精密仪器有限公司,,,电子发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG005,invoice_electronic_019.png,invoices/images,image_electronic,true,,E1436385288,2024-03-10,3250.00,292.50,3542.50,杭州互联网科技有限公司,宁波国际贸易有限公司,,,电子发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG006,invoice_electronic_023.png,invoices/images,image_electronic,true,,E2581273664,2023-07-08,2900.00,377.00,3277.00,合肥新能源科技有限公司,北京科技有限公司,,,电子发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG007,invoice_electronic_027.png,invoices/images,image_electronic,true,,E2050038247,2024-10-05,4440.00,409.20,4849.20,上海贸易股份有限公司,哈尔滨农业科技股份有限公司,,,电子发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG008,invoice_normal_002.png,invoices/images,image_normal,true,,5011999948,2022-03-19,24200.00,,24200.00,沈阳重工设备制造有限公司,长沙建筑工程有限公司,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG009,invoice_normal_006.png,invoices/images,image_normal,true,,5203727765,2023-12-10,36700.00,,36700.00,广州电子信息技术有限公司,北京科技有限公司,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG010,invoice_normal_010.png,invoices/images,image_normal,true,,3146506194,2023-10-04,29600.00,,29600.00,上海贸易股份有限公司,沈阳重工设备制造有限公司,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG011,invoice_normal_014.png,invoices/images,image_normal,true,,0336844486,2022-03-31,10000.00,,10000.00,上海贸易股份有限公司,沈阳重工设备制造有限公司,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG012,invoice_normal_018.png,invoices/images,image_normal,true,,0324327053,2022-02-08,2100.00,,2100.00,重庆汽车零部件有限公司,深圳智能科技集团,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG013,invoice_normal_022.png,invoices/images,image_normal,true,,4792738660,2023-12-08,8100.00,,8100.00,宁波国际贸易有限公司,苏州精密仪器有限公司,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG014,invoice_normal_026.png,invoices/images,image_normal,true,,4271938884,2023-03-31,72400.00,,72400.00,深圳智能科技集团,深圳智能科技集团,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG015,invoice_normal_030.png,invoices/images,image_normal,true,,0832143523,2023-04-21,52000.00,,52000.00,哈尔滨农业科技股份有限公司,长沙建筑工程有限公司,,,增值税普通发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG016,invoice_receipt_004.png,invoices/images,image_receipt,true,,SJ0181416416,2023-01-21,8979.72,,8979.72,深圳智能科技集团,苏州精密仪器有限公司,,,收据,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG017,invoice_receipt_008.png,invoices/images,image_receipt,true,,SJ7098837158,2024-06-10,43884.39,,43884.39,宁波国际贸易有限公司,杭州互联网科技有限公司,,,收据,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG018,invoice_receipt_012.png,invoices/images,image_receipt,true,,SJ0162834166,2023-11-03,29451.36,,29451.36,沈阳重工设备制造有限公司,济南物流配送有限公司,,,收据,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG019,invoice_receipt_016.png,invoices/images,image_receipt,true,,SJ3320271474,2022-11-27,11348.93,,11348.93,宁波国际贸易有限公司,长沙建筑工程有限公司,,,收据,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG020,invoice_receipt_020.png,invoices/images,image_receipt,true,,SJ9824981875,2022-05-27,29638.09,,29638.09,沈阳重工设备制造有限公司,宁波国际贸易有限公司,,,收据,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG021,invoice_receipt_024.png,invoices/images,image_receipt,true,,SJ4449120430,2023-05-28,41168.00,,41168.00,重庆汽车零部件有限公司,苏州精密仪器有限公司,,,收据,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG022,invoice_receipt_028.png,invoices/images,image_receipt,true,,SJ2540262889,2022-01-23,17300.76,,17300.76,北京科技有限公司,郑州食品加工有限公司,,,收据,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG023,invoice_vat_001.png,invoices/images,image_vat,true,316206133954,916670391436,2024-05-24,68000.00,4860.00,72860.00,天津化工材料有限公司,南京机械制造有限公司,Q2VKENJM2IO6IC48HQ,M68YJUB20N9IZ41V4D,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG024,invoice_vat_005.png,invoices/images,image_vat,true,313168892301,915824545411,2024-11-14,24200.00,1536.00,25736.00,天津化工材料有限公司,宁波国际贸易有限公司,XZ5M1MXT51B2GIZ6QQ,S5MZJYXDQVMRYJ07NX,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG025,invoice_vat_009.png,invoices/images,image_vat,true,310184542355,910003807522,2022-10-19,36200.00,4670.00,40870.00,郑州食品加工有限公司,苏州精密仪器有限公司,A8LZS2FFTANFVJ9XLW,FVBEURM7UNO6BAXWWN,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG026,invoice_vat_013.png,invoices/images,image_vat,true,311505422990,910787506429,2023-06-23,22040.00,1465.20,23505.20,杭州互联网科技有限公司,杭州互联网科技有限公司,TJ2PO0OA19PMUU9THW,RIUS8XNV0RYTS8IGYZ,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG027,invoice_vat_017.png,invoices/images,image_vat,true,318359737181,911133856214,2023-11-14,57500.00,5025.00,62525.00,济南物流配送有限公司,深圳智能科技集团,8F01N9ZUJJI5TA7TIU,HRF20TTQBIJLLP5CYV,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG028,invoice_vat_021.png,invoices/images,image_vat,true,316864996254,916782303734,2024-04-08,23250.00,1492.50,24742.50,广州电子信息技术有限公司,成都软件开发有限公司,Y0TSSRJEO3XB04JU4U,5MT5LA5LWHD2A3G6L9,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG029,invoice_vat_025.png,invoices/images,image_vat,true,317974711192,910894583595,2022-03-24,39000.00,3060.00,42060.00,重庆汽车零部件有限公司,天津化工材料有限公司,U2ZIKT2FO857KER86M,QC5BK24DVWXYLSLLI6,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
IMG030,invoice_vat_029.png,invoices/images,image_vat,true,319318027165,910364019107,2024-07-19,46500.00,5085.00,51585.00,天津化工材料有限公司,成都软件开发有限公司,MVJTUHNH4HM7S7M5VD,3VUXLUKGUII5MDEIJ2,增值税专用发票,high,PDF文本真值自动抽取；图片由PDF首页渲染生成
